数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值
sz301622,N英思特,2024-12-04,130.0,149.99,99.83,100.0,22.36,21652242.0,2498168928.0,2748808400.0000005,11593188000.0
sz301622,C英思特,2024-12-05,87.0,95.0,83.57,84.1,100.0,15956692.0,1388989152.0,2311747864.4,9749871108.0
sz301622,C英思特,2024-12-06,83.03,85.88,79.7,79.83,84.1,12158829.0,990275255.0,2194373745.72,9254841980.4
sz301622,C英思特,2024-12-09,77.1,78.78,75.78,76.18,79.83,8620436.0,662623424.0,2094042239.12,8831690618.4
sz301622,C英思特,2024-12-10,98.99,98.99,77.19,77.4,76.18,17381663.0,1560796317.0,2127577701.6,8973127512.0
sz301622,英思特,2024-12-11,72.0,73.8,68.8,70.51,77.4,13451943.0,950752918.0,1938184802.84,8174356858.8
sz301622,英思特,2024-12-12,69.74,70.66,68.4,69.83,70.51,8854497.0,614980577.0,1919492905.72,8095523180.400001
sz301622,英思特,2024-12-13,69.21,69.96,67.79,68.08,69.83,6762981.0,465317626.0,1871388758.72,7892642390.400001
sz301622,英思特,2024-12-16,67.88,69.49,66.6,68.28,68.08,6473783.0,439901009.0,1876886375.52,7915828766.400001
sz301622,英思特,2024-12-17,67.69,68.97,67.01,67.6,68.28,5018514.0,341391239.0,1858194478.4,7836995088.0
sz301622,英思特,2024-12-18,67.78,69.19,67.3,68.15,67.6,4509741.0,307608933.0,1873312924.6,7900757622.0
sz301622,英思特,2024-12-19,67.18,67.18,65.45,66.31,68.15,4580250.0,303632382.0,1822734850.04,7687442962.8
sz301622,英思特,2024-12-20,65.95,67.85,65.75,67.31,66.31,4490018.0,300510688.0,1850222934.04,7803374842.8
sz301622,英思特,2024-12-23,66.96,67.76,64.01,64.04,67.31,4928082.0,324774170.0,1760336899.36,7424277595.2
sz301622,英思特,2024-12-24,64.4,66.75,62.72,66.74,64.04,5465204.0,354209317.0,1834554726.16,7737293671.2
sz301622,英思特,2024-12-25,65.62,67.54,64.51,66.26,66.74,4612746.0,304550514.35,1821360445.84,7681646368.8
sz301622,英思特,2024-12-26,66.3,68.95,65.11,68.5,66.26,5996155.0,408186758.0,1882933754.0,7941333780.0
sz301622,英思特,2024-12-27,68.01,68.3,66.78,67.25,68.5,4311327.0,291527925.0,1848573649.0,7796418930.0
sz301622,英思特,2024-12-30,67.0,67.0,64.84,64.86,67.25,2856474.0,187228171.0,1782877128.2399998,7519341736.8
sz301622,英思特,2024-12-31,65.19,65.47,62.17,62.28,64.86,3183935.0,201619537.0,1711957871.52,7220237486.4
sz301622,英思特,2025-01-02,62.2,63.13,60.45,61.16,62.28,2696107.0,166700965.0,1681171217.44,7090393780.8
sz301622,英思特,2025-01-03,61.51,65.99,60.75,61.65,61.16,5158774.0,326690196.0,1694640378.6,7147200402.0
sz301622,英思特,2025-01-06,61.14,64.11,58.55,63.1,61.65,4606339.0,286375959.0,1734498100.4,7315301628.000001
sz301622,英思特,2025-01-07,62.47,64.55,61.38,63.97,63.1,4418984.0,278698119.0,1758412733.4799998,7416162363.599999
sz301622,英思特,2025-01-08,62.8,63.84,61.7,63.45,63.97,3362288.0,211312533.0,1744118929.8,7355877786.0
sz301622,英思特,2025-01-09,63.0,67.49,61.98,67.19,63.45,6987645.0,460922658.0,1846924363.96,7789463017.2
sz301622,英思特,2025-01-10,66.01,70.49,65.41,68.1,67.19,7819339.0,530545382.0,1871938520.4,7894961028.0
sz301622,英思特,2025-01-13,66.12,70.09,66.01,66.24,68.1,5585164.0,378165749.0,1820810684.16,7679327731.2
sz301622,英思特,2025-01-14,64.6,68.48,63.8,68.48,66.24,7196594.0,483327404.0,1882383992.32,7939015142.400001
sz301622,英思特,2025-01-15,68.1,72.69,67.45,70.58,68.48,8504072.0,593152395.0,1940108968.72,8182472090.4
sz301622,英思特,2025-01-16,70.0,75.05,69.61,71.35,70.58,10327938.0,747471430.0,1961274793.4,8271739638.0
sz301622,英思特,2025-01-17,70.0,70.29,68.03,68.85,71.35,5895303.0,407987724.0,1892554583.4,7981909938.000001
sz301622,英思特,2025-01-20,68.85,69.72,68.03,69.22,68.85,4594757.0,316705908.0,1902725174.48,8024804733.599999
sz301622,英思特,2025-01-21,69.2,69.4,66.69,67.88,69.22,4404955.0,298108643.0,1865891141.92,7869456014.4
